session.no,Date,Time,Weather,Remarks,rhino.no,Remarks,food.presence,Remarks,food.presence.index,Interval,feed-on,not.feed-on,feed-not.on,not.feed-not.on,mynah.no,Remarks
1,14/07/2022 (Thu),10:00 AM,Sunny,,7,,Yes,,3,1,1,1,0,0,2,
1,14/07/2022 (Thu),10:00 AM,Sunny,,7,,Yes,,3,2,0,0,0,2,2,
1,14/07/2022 (Thu),10:00 AM,Sunny,,7,,Yes,,3,3,0,2,0,0,2,
1,14/07/2022 (Thu),10:00 AM,Sunny,,7,,Yes,,3,4,0,0,0,2,2,
1,14/07/2022 (Thu),10:00 AM,Sunny,,7,,Yes,,3,5,0,1,0,1,2,
1,14/07/2022 (Thu),10:00 AM,Sunny,,7,,Yes,,3,6,0,1,0,1,2,
1,14/07/2022 (Thu),10:00 AM,Sunny,,7,,Yes,,3,7,0,0,0,2,2,
1,14/07/2022 (Thu),10:00 AM,Sunny,,7,,Yes,,3,8,0,0,0,2,2,
1,14/07/2022 (Thu),10:00 AM,Sunny,,7,,Yes,,3,9,0,1,0,1,2,
1,14/07/2022 (Thu),10:00 AM,Sunny,,7,,Yes,,3,10,0,2,0,0,2,
1,14/07/2022 (Thu),10:00 AM,Sunny,,7,,Yes,,3,11,0,0,0,4,4,
1,14/07/2022 (Thu),10:00 AM,Sunny,,7,,Yes,,3,12,0,0,0,5,5,
1,14/07/2022 (Thu),10:00 AM,Sunny,,7,,Yes,,3,13,1,1,0,1,3,
1,14/07/2022 (Thu),10:00 AM,Sunny,,7,,Yes,,3,14,0,0,0,3,3,
1,14/07/2022 (Thu),10:00 AM,Sunny,,7,,Yes,,3,15,0,0,0,3,3,
1,14/07/2022 (Thu),10:00 AM,Sunny,,7,,Yes,,3,16,0,1,0,2,3,
1,14/07/2022 (Thu),10:00 AM,Sunny,,7,,Yes,,3,17,0,2,0,3,5,
1,14/07/2022 (Thu),10:00 AM,Sunny,,7,,Yes,,3,18,0,3,0,3,6,
1,14/07/2022 (Thu),10:00 AM,Sunny,,7,,Yes,,3,19,1,1,0,4,6,
1,14/07/2022 (Thu),10:00 AM,Sunny,,7,,Yes,,3,20,0,0,0,5,5,
2,14/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,1,0,0,0,1,1,
2,14/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,2,0,1,0,4,5,
2,14/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,3,0,0,0,3,3,
2,14/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,4,0,1,0,4,5,
2,14/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,5,1,0,0,4,5,
2,14/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,6,0,1,0,4,5,
2,14/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,7,1,1,0,4,6,
2,14/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,8,1,1,0,6,8,
2,14/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,9,1,3,0,6,10,
2,14/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,10,0,3,0,6,9,
2,14/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,11,0,3,0,7,10,
2,14/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,12,1,2,0,5,8,
2,14/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,13,0,3,0,0,3,
2,14/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,14,0,2,0,0,2,
2,14/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,15,0,1,0,0,1,
2,14/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,16,0,1,0,0,1,
2,14/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,17,0,1,0,0,1,
2,14/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,18,0,2,0,0,2,
2,14/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,19,0,1,0,0,1,
2,14/07/2022 (Thu),2:00 PM,Sunny,,7,,Yes,,3,20,0,0,0,1,1,
3,14/07/2022 (Thu),5:00 PM,Cloudy,,7,,No,,1,1,0,0,0,0,0,
